Area	Year	Season	Gear	GearCode	Repeated_Day	Depthstratum	Depth, m	Disturbance	Station	Cod>38N	CodN	CyprinidsB	CyprinidsN	Eel>45N	EelN	EelpoutN	Fish>30N	Fish>40N	Flounder>30N	FlounderN	HerringN	MesopredatorsN	Perch>24N	PerchB	PerchN	PikeN	Pikeperch>40N	PikeperchN	Piscivores>30N	PiscivoresN	TotalcatchN	WhitefishN
Asköfjärden	2006	Warm	Nordic coastal multimesh gillnet	K064	NA	10-20m	17	YES	434																							
Asköfjärden	2005	Warm	Nordic coastal multimesh gillnet	K064	NA	0-3m	3	NO	101	0	0	1,346924946	11	0	0	0	1	1	0	0	0	NA	0	0,614310006	11	0	0	0	0	11	22	0
Asköfjärden	2005	Warm	Nordic coastal multimesh gillnet	K064	NA	0-3m	3	NO	102	0	0	1,006233998	46	0	0	0	0	0	0	0	1	NA	0	0,338525001	9	0	0	0	0	9	57	0
Asköfjärden	2005	Warm	Nordic coastal multimesh gillnet	K064	NA	0-3m	3	NO	111	0	0	1,88491594	35	0	0	0	1	1	0	0	0	NA	0	0,406124	8	0	0	0	0	8	43	0
Asköfjärden	2005	Warm	Nordic coastal multimesh gillnet	K064	NA	0-3m	3	NO	112	0	0	0,507280003	20	0	0	0	0	0	0	0	0	NA	0	1,111384021	13	0	0	0	0	13	33	0
Asköfjärden	2005	Warm	Nordic coastal multimesh gillnet	K064	NA	0-3m	3	NO	114	0	0	1,421344023	20	0	0	0	2	1	1	3	3	NA	0	1,059960999	18	0	0	0	0	18	45	0
Asköfjärden	2005	Warm	Nordic coastal multimesh gillnet	K064	NA	0-3m	2	NO	116	0	0	1,523534998	59	0	0	0	0	0	0	0	0	NA	0	1,166375998	20	1	0	0	0	21	80	0
Asköfjärden	2005	Warm	Nordic coastal multimesh gillnet	K064	NA	0-3m	3	NO	120	0	0	1,08401899	38	0	0	0	1	0	1	3	0	NA	0	0,613589004	13	0	0	0	0	13	56	0
Asköfjärden	2005	Warm	Nordic coastal multimesh gillnet	K064	NA	0-3m	2	NO	128	0	0	2,249974009	70	0	0	0	0	0	0	0	1	NA	0	0,740727004	9	0	0	0	0	9	80	0
Asköfjärden	2005	Warm	Nordic coastal multimesh gillnet	K064	NA	0-3m	3	NO	129	0	0	0,928170007	31	0	0	0	2	1	0	2	0	NA	2	2,123207994	16	0	1	1	2	17	50	0
Asköfjärden	2005	Warm	Nordic coastal multimesh gillnet	K064	NA	0-3m	2	NO	132	0	0	0,785560988	28	0	0	0	0	0	0	0	0	NA	1	1,882063005	26	0	0	0	0	26	54	0
Asköfjärden	2005	Warm	Nordic coastal multimesh gillnet	K064	NA	0-3m	3	NO	145	0	0	0,391798999	15	0	0	0	0	0	0	0	1	NA	1	0,54050399	5	0	0	0	0	5	21	0
